asin,title,imgUrl,price,stars,isBestSeller,boughtInLastMonth,category_name
B0CGLZR1GV,"952XL High-Yield Ink Cartridges (5-Pack, 2Black/1Cyan/1Magenta/1Yellow) - LOMENTI Compatible Ink Replacement for HP OfficeJet Pro 7740 8210 8216 8218 8710 8715 8716 8717 8719 8720 8725 Printer",https://m.media-amazon.com/images/I/713UCINhU0L._AC_UL320_.jpg,107.89,4.5,False,100,Office Electronics
B00MXCVLGA,"LD Products Remanufactured Ink Cartridge Replacement for Epson 676XL T676XL High Yield (Black, Cyan, Magenta, Yellow, 4-Pack) Workforce WP-4020 WP-4530 WP-4540 WP-4010 WP-4023 WP-4090 WP-4520 WP-4533",https://m.media-amazon.com/images/I/71gz7gDs1yS._AC_UL320_.jpg,28.99,3.8,False,100,Office Electronics
B07G9T12RW,"CYTTR Thermal Transfer Ribbon - Premium Wax Printer Ribbon 1""Core Ink Out- 1 Roll (4.33"" x 1476') 110mm450m for Zebra ZT410,ZT420,ZT610,105SL,110*i4,140*i4,zt230,Godex ez2300,Citizen s700",https://m.media-amazon.com/images/I/61wB4OV3w4L._AC_UL320_.jpg,19.15,4.5,False,100,Office Electronics
B07R2HBPX1,Smart Ink Remanufactured Ink Cartridge Replacement for HP 65XL 65 XL (Black & Color Combo Pack) to use with DeskJet 3755 3700 2600 2652 3752 2622 2655 3722 2636 2620 Envy 5055 5000 5052 5014 5010,https://m.media-amazon.com/images/I/71TMsniwBqL._AC_UL320_.jpg,25.99,4.5,False,300,Office Electronics
B0849Q3TF3,Be Green Ink Compatible Replacement Black Toner Cartridge for Lexmark MS317dn MS417dn MS517dn MS617dn MX317dn MX417de MX517de MX617de - 51B1000 Black Toner (2.5k Yield),https://m.media-amazon.com/images/I/71eYEJhWA0L._AC_UL320_.jpg,52.99,4.3,False,50,Office Electronics
B08FM44S1S,"Canon PG-243/CL-244 Black and Color Ink Cartridge Value Pack for Select PIXMA IP, MG, MX, TR, TS Series Printers, 2-Pack",https://m.media-amazon.com/images/I/61mvpu5UMTL._AC_UL320_.jpg,0.0,4.6,False,100,Office Electronics
B0BVH6GLCY,"Woolsche Paper Shredder, P-5 Security Level, 6-Sheet Micro Cut with 3.43-Gallon Basket, Durable & Fast with Jam Proof System, Paper Shredder for Home Office (ETL)",https://m.media-amazon.com/images/I/51hShEcyr5L._AC_UL320_.jpg,59.99,4.2,False,400,Office Electronics
B0B4F2ZKZG,Professor Color Re-Coded OEM Toner Cartridge Replacement for Xerox AltaLink C8030 C8035 C8045 C8055 C8070 | 006R01697 006R01698 006R01699 006R01700 - 4 Pack,https://m.media-amazon.com/images/I/81-NxrzyCqL._AC_UL320_.jpg,349.99,3.6,False,0,Office Electronics
B08RHJPZBT,"Palmtree Remanufactured Ink Cartridge Replacement for Canon 240XL 241XL Combo Pack for Ink 240 241 High Capacity for PIXMA MG3620 MG3600 TS5120 MX472 Printer (1 Black, 1 Color)",https://m.media-amazon.com/images/I/71cjIjYYWnL._AC_UL320_.jpg,49.99,4.3,False,700,Office Electronics
B0C3B9G6MG,200 Pack 5 Mil Index Card Laminating Pouches 3x5 File Card Laminating Pouches Lamination Pouches Recipe Card Laminating Pouches for Work Permits Pass Cards Student ID Cards,https://m.media-amazon.com/images/I/61vacDX5g1L._AC_UL320_.jpg,22.58,5.0,False,100,Office Electronics
